CatID,Daily rainfall (mm),Daily distance moved (m)
1,2.4,3590.19
1,0.1,5932.37
1,1.3,3892.43
1,1.8,4597.59
1,0,5050.58
1,0,5176.61
2,2.4,4372.44
2,0.1,4696.58
2,1.3,5025.95
2,1.8,5042.80
2,0,4599.54
2,0,4684.19
3,1.3,2405.77
3,1.8,1445.95
3,0,6053.87
3,0,2802.68
3,0,6874.78
3,19.9,4654.50
4,0,3268.28
4,19.9,3077.27
4,3.2,3575.17
4,5.7,3733.41
4,11.6,3358.17
4,0.5,3178.82
5,0,6102.03
5,0,5544.03
5,19.9,1975.13
5,3.2,4401.75
5,5.7,2343.39
5,11.6,1758.76
6,3.2,1424.95
6,5.7,5246.81
6,11.6,5073.32
6,0.5,4259.06
6,0,4327.12
6,0.1,3460.75
7,3.2,5492.48
7,5.7,5673.21
7,11.6,3728.49
7,0.5,3586.88
7,0,5968.03
7,0.1,3673.93
8,3.2,1358.43
8,5.7,6322.98
8,11.6,7857.18
8,0.5,3660.94
8,0,1554.92
8,0.1,6593.99
8,0.6,2538.09
8,5,2202.05
10,2.9,819.72
10,1.1,863.75
10,0.5,1803.36
10,0.1,1008.66
10,0,322.56
10,0.1,642.01
10,3.2,405.52
11,0,3003.79
11,0.1,2283.50
11,0.6,2934.28
11,5,2012.16
11,9.1,561.65
11,41.3,859.75
12,0,1909.77
12,0.1,2837.32
12,0.6,2717.33
12,5,1561.31
12,9.1,996.36
12,41.3,1038.33
13,0.1,2762.56
13,0.6,1802.32
13,5,2260.05
13,9.1,1047.11
13,41.3,1896.79
13,3.3,2042.52
14,0,1220.41
14,0,946.55
14,0,2980.19
14,0,940.83
14,3,1215.44
15,0,972.86
15,0,957.29
15,0,77.22
15,0,1217.49
15,0,2256.47
15,3,3204.38
16,0,3327.84
16,0,4929.64
16,0.2,4159.48
16,3.4,3554.66
16,8.2,3963.88
16,2.7,3579.66
17,0,5636.14
17,0,4739.77
17,0,5160.38
17,0.2,7217.72
17,3.4,5802.03
17,8.2,1980.66
18,0,4135.94
18,0,2364.98
18,0.3,817.44
18,1.5,2536.07
18,3.1,2731.53
18,0,2961.35
19,0,8611.83
19,0.6,5764.98
19,0.5,6045.19
19,2.1,6179.02
19,0.1,5971.60
19,0.1,4012.24
20,0,5844.11
20,0.4,4269.66
20,2.7,4303.67
20,0.9,6114.99
20,0.2,9125.41
20,0,2889.71
21,0,4777.85
21,0.1,6025.56
21,1.3,5482.23
21,0,1581.50
21,0,3572.43
21,10.3,1671.46
22,0.6,704.53
22,0.5,1836.36
22,2.1,3599.58
22,0.1,3641.31
22,0.1,947.66
22,9.5,1267.55
23,17.1,2689.78
23,0.5,2705.29
23,0,2228.77
23,0,1300.59
23,27.8,1394.23
23,0.1,1072.69
24,6.4,4855.22
24,1,1389.40
24,0,2635.37
24,0,3325.09
24,7.5,1075.37
24,1.8,623.72
25,9.7,2934.98
25,0.1,3664.78
25,0,2575.80
25,0,2410.27
25,18.2,2632.07
25,0.7,1133.35
26,0.9,3098.36
26,0,2159.91
26,0,3469.86
26,23.7,3067.84
26,1.5,4136.98
26,0.2,3369.10
27,0.6,3534.82
27,0,5622.21
27,0,6475.78
27,8,3890.37
27,0.3,2033.09
27,1.1,3826.60
28,0,765.24
28,11.3,2813.08
28,1,2113.02
28,1.6,3854.88
28,0,2155.15
28,0,666.79
29,12.9,3322.03
29,4.3,1552.00
29,1.8,4182.98
29,0,1023.16
29,0,1625.36
30,12.8,2064.46
30,0.3,2531.86
30,0,1728.91
30,0.1,733.40
30,0,1728.12
30,0,2638.35
31,10.7,3684.22
31,1.7,2585.26
31,1.8,3449.19
31,0,4752.76
31,0,3743.32
32,0,2246.75
32,5.1,2226.94
32,0.4,1149.46
32,0.1,2519.83
32,0,1872.08
32,2.9,1720.11
32,12.2,398.06
33,4.3,2803.95
33,0.2,4204.61
33,0,2592.54
33,0.1,2907.75
33,0.7,3570.29
33,7.9,1109.84
34,5.1,1487.46
34,0.1,1205.89
34,0.1,1327.28
34,0,1466.66
34,1.1,1458.28
34,8.7,780.74
35,3.9,3098.31
35,0.3,4167.77
35,0.2,653.21
35,0,2398.31
35,0.6,3943.07
35,4.5,2597.38
36,0.1,1558.60
36,0,2150.98
36,0,1565.44
36,4.8,1549.91
36,13.6,2375.85
36,14.3,1686.98
37,0,901.91
37,0,1423.21
37,4.8,886.66
37,13.6,1109.27
37,14.3,803.46
37,6.4,823.02
38,0,3332.10
38,0,2372.14
38,8.3,3107.37
38,0.2,2572.61
38,1.2,478.82
39,0,2992.17
39,0,2535.49
39,0.5,3246.85
39,12.3,3759.21
39,13,2228.83
39,6,2321.37
40,0,2070.24
40,0,1495.29
40,4.2,1221.94
40,0.1,1583.27
40,1.8,1311.11
40,8.8,2396.28
40,8.2,398.65
41,3.4,1845.02
41,3.4,3077.50
41,3.6,1157.70
41,3.1,1219.60
41,2.1,2015.27
41,2.1,2264.56
42,0.5,4183.25
42,2.6,3502.03
42,6,3021.21
42,5.3,2321.90
42,0.9,2963.44
42,2.6,3209.88
44,12.3,780.38
44,13,3279.91
44,6,1787.59
44,1.3,2711.12
44,1.5,3049.62
45,20.2,1807.77
45,0.2,2829.30
45,0,1998.58
45,0,1758.20
45,0,2530.91
45,0,1398.16
46,14.3,4743.08
46,0.5,7033.25
46,0.1,4606.89
46,0,5040.31
46,0,7010.86
46,0,5828.52
47,0,2776.84
47,0,462.94
47,0,5477.01
47,0.6,3584.82
47,1.3,4183.68
47,0,5989.09
48,0,6531.13
48,1,4151.85
48,5.3,2730.36
48,0.1,5246.85
48,2.1,4460.53
48,4.8,4250.13
49,43.2,1836.34
49,1.8,3696.65
49,1.8,8610.69
49,0.2,6097.09
49,0,436.40
49,0,257.35
50,1.4,577.95
50,6.1,242.99
50,0.7,859.38
50,0.4,122.82
50,1.9,609.64
50,6.1,138.87
51,7.4,1065.83
51,0.3,1336.39
51,9,1036.60
51,6.1,865.28
51,8.4,738.39
51,32,830.37
52,7.4,2679.12
52,0.3,2253.76
52,9,1344.12
52,6.1,1294.26
52,8.4,282.09
52,32,1383.22
53,0.3,3229.85
53,3.8,3133.39
53,11.9,3872.15
53,11.1,3060.69
53,5.5,2977.26
53,6.7,2610.42
54,0.3,2712.43
54,3.8,1761.53
54,11.9,1558.91
54,11.1,1635.92
54,5.5,1368.78
54,6.7,2032.82
55,0.3,2164.05
55,3.8,1389.88
55,11.9,1583.28
55,11.1,1914.60
55,5.5,1165.56
55,6.7,1030.86
56,1.9,5883.98
56,4.8,5634.33
56,7.4,3276.58
56,10.8,3729.69
56,16,4332.13
57,1.9,4980.49
57,4.8,6399.28
57,7.4,3080.40
58,3.5,2340.78
58,2.5,1953.50
58,2.7,943.98
58,13.6,1435.36
58,8.1,1064.51
58,0,1212.51
59,0.3,7454.83
59,6.4,3692.59
59,4.5,6016.20
59,0.8,3778.65
59,0.4,4858.40
59,0,5563.25
60,0.3,4206.15
60,6.4,2324.51
60,4.5,3856.73
60,0.8,3483.22
60,0.4,2700.95
60,0,2618.47
61,6.6,2096.17
61,9.9,1861.00
61,20.5,1606.30
61,2.2,3557.04
61,0.7,4481.75
61,0,4775.08
62,11.1,1223.18
62,0,1256.14
62,0,1908.11
62,0.3,2249.07
62,2.2,1921.37
62,0.5,1730.22
63,0,1185.80
63,0,2613.46
63,0.3,799.20
63,2.2,1103.52
63,0.5,1101.24
63,0,935.30
64,0,2236.85
64,0,1635.60
64,0.3,2952.27
64,2.2,3363.36
64,0.5,1660.46
64,0,1476.36
65,0,1312.22
65,0,655.20
65,1.1,990.64
65,0.5,1130.73
65,0,561.82
65,0,970.92
66,0,1595.25
66,0,1306.73
66,1.1,1324.73
66,0.5,931.38
66,0,1160.90
66,0,1024.49
67,0,1015.84
67,0,1332.31
67,1.1,763.19
67,0.5,330.63
67,0,998.36
67,0,1305.49
68,1.5,1447.90
68,1.7,1628.66
68,0.1,922.92
68,0.4,997.31
68,3.5,488.07
69,1.5,1342.16
69,1.7,1226.41
69,0.1,1400.54
69,0.4,604.68
69,3.5,734.82
70,1.6,1462.89
70,3.5,715.83
70,0,1284.90
70,0,531.90
70,1.3,654.26
70,0,1064.33
71,2.8,3054.35
71,0,7422.37
71,0.9,5376.32
71,1.4,4159.40
71,0.5,5136.88
71,7,2331.03
72,0,4656.68
72,0,5035.67
72,1.3,4642.12
72,0,5710.03
72,2.8,5217.90
72,5.7,3545.19
73,0,2852.88
73,0,3034.41
73,0.8,4998.76
73,0,4950.85
73,4.8,3529.04
73,3,3107.93
74,0,657.20
74,1.2,621.29
74,0.1,366.04
74,2.3,470.43
74,5.1,615.25
74,0.3,662.86
75,2.2,4249.42
75,1.2,3047.88
75,8.1,3459.72
75,17.5,4168.83
75,2.2,1971.20
75,1,2203.63
76,2.2,2006.51
76,1.2,2296.48
76,8.1,2981.96
76,17.5,2368.59
76,2.2,2296.04
76,1,2360.42
77,1,3375.15
77,2.6,4781.81
77,0.1,3804.70
77,1,2851.70
77,0.4,6771.53
77,0.1,5407.80
78,0,4158.66
78,0.4,5250.97
78,0,9364.79
78,0,7762.60
78,0,8695.15
78,4.2,4040.01
79,0.8,1456.67
79,0.3,3339.61
79,0,1839.90
79,0,3448.97
79,0.8,1594.05
79,1.8,3269.57
80,0.8,3624.82
80,0.3,2869.43
80,0,3045.54
80,0,2119.67
80,0.8,2323.20
80,1.8,3566.29
81,0.7,2800.14
81,0.3,2130.91
81,0,3163.21
81,0,2090.56
81,1.4,2036.54
81,1.4,963.02
82,0.7,885.31
82,0.3,738.42
82,0,1060.46
82,0,711.60
82,1.4,959.38
82,1.4,362.51
83,0.7,1975.96
83,0.3,6955.12
83,0,4769.62
83,0,4823.15
83,1.4,3337.94
83,1.4,3570.51
84,0.7,715.76
84,0.3,3679.69
84,0,3323.00
84,0,2076.83
84,1.4,1948.18
84,1.4,1929.63
85,0.3,2032.09
85,0,2153.15
85,2.7,1297.76
85,2.1,1414.95
85,0,1067.80
85,1.1,1426.77
86,0.3,2510.03
86,0,3112.62
86,2.7,3520.96
86,2.1,2352.65
86,0,3546.69
86,1.1,3187.06
87,0.3,2237.14
87,0,3635.41
87,2.7,2398.68
87,2.1,3604.25
87,0,4215.43
87,1.1,2700.61
88,3.1,2136.85
88,0.9,2477.19
88,0.1,3359.32
88,1.2,3071.22
88,1.6,2727.10
88,0.2,3560.19
89,3.1,2345.22
89,0.9,1776.55
89,0.1,2480.52
89,1.2,2116.10
89,1.6,1254.61
89,0.2,1836.55
90,4.3,1364.99
90,7.8,2081.15
90,0,2000.89
90,1.5,1584.47
90,1.7,1514.19
90,0.3,1859.52
91,4.3,1915.88
91,7.8,1510.87
91,0,766.04
91,1.5,896.80
91,1.7,1597.89
91,0.3,1065.63
92,0.8,815.98
92,0.1,483.38
92,0.1,505.20
92,0.2,391.66
92,1.9,1087.05
92,0.7,664.38
93,0,6015.21
93,0,5453.72
93,0.4,3165.61
93,2.5,4707.36
93,0.8,2764.61
93,5.5,1840.19
94,2.2,6051.25
94,2.7,6555.96
94,0.7,6626.93
94,4.9,6348.91
94,2.7,7188.57
94,1.1,5843.12
95,2.2,3779.59
95,2.7,2517.98
95,0.7,4402.01
95,4.9,2045.80
95,2.7,3350.54
95,1.1,2027.65
96,2.2,1334.59
96,2.7,1927.64
96,0.7,1459.91
96,4.9,3600.57
96,2.7,1596.90
96,1.1,2660.15
97,1.9,1115.62
97,4.2,1112.95
97,2.4,526.94
97,5.8,1047.99
97,0.8,1046.47
97,0.3,1365.74